Clonal	Subclonal
NA	SMUG1
NA	SMURF1
NA	SMYD2
NA	SNAI2
NA	SNAP29
NA	SNAPC1
NA	SNAPC2
NA	SNCA
NA	SNCB
NA	SNF8
NA	SNIP1
NA	SNRNP27
NA	SNRNP48
NA	SNRNP70
NA	SNRPA
NA	SNRPA1
NA	SNRPB2
NA	SNRPC
NA	SNRPD2
NA	SNTA1
NA	SNTB2
NA	SNTN
NA	SNUPN
NA	SNW1
NA	SNX11
NA	SNX13
NA	SNX16
NA	SNX18
NA	SNX2
NA	SNX24
NA	SNX25
NA	SNX30
NA	SNX32
NA	SNX33
NA	SNX5
NA	SNX6
NA	SOAT1
NA	SOAT2
NA	SOCS2
NA	SOCS4
NA	SOCS7
NA	SOHLH1
NA	SORBS3
NA	SORD
NA	SOS1
NA	SOST
NA	SOSTDC1
NA	SOWAHC
NA	SOX1
NA	SOX14
NA	SOX18
NA	SOX2
NA	SOX21
NA	SOX3
NA	SOX5
NA	SOX9
NA	SP1
NA	SP3
NA	SP5
NA	SP8
NA	SPA17
NA	SPAG11B
NA	SPAG4
NA	SPAG9
NA	SPATA12
NA	SPATA13
NA	SPATA17
NA	SPATA2
NA	SPATA2L
NA	SPATA5L1
NA	SPATA6
NA	SPATA6L
NA	SPATA7
NA	SPATA8
NA	SPATS1
NA	SPATS2L
NA	SPC25
NA	SPCS1
NA	SPCS2
NA	SPDYA
NA	SPDYC
NA	SPDYE1
NA	SPG7
NA	SPHK1
NA	SPI1
NA	SPICE1
NA	SPIN2B
NA	SPIN3
NA	SPINK13
NA	SPINK2
NA	SPINK4
NA	SPINK7
NA	SPINK9
NA	SPINT2
NA	SPINT4
NA	SPIRE1
NA	SPIRE2
NA	SPNS2
NA	SPO11
NA	SPOCK3
NA	SPOP
NA	SPOPL
NA	SPP1
NA	SPP2
NA	SPR
NA	SPRED3
NA	SPRR1A
NA	SPRR1B
NA	SPRR2A
NA	SPRR2D
NA	SPRR2E
NA	SPRR2F
NA	SPRY2
NA	SPRYD3
NA	SPRYD7
NA	SPSB3
NA	SPTBN1
NA	SPTLC1
NA	SQLE
NA	SRD5A3
NA	SRFBP1
NA	SRGAP1
NA	SRGN
NA	SRL
NA	SRP14
NA	SRP54
NA	SRP68
NA	SRP72
NA	SRRD
NA	SRSF12
NA	SRSF2
NA	SRSF3
NA	SRSF4
NA	SRSF5
NA	SRSF7
NA	SRSF9
NA	SRXN1
NA	SS18
NA	SSB
NA	SSBP1
NA	SSBP3
NA	SSNA1
NA	SSPN
NA	SSR1
NA	SSR2
NA	SSSCA1
NA	SST
NA	SSTR3
NA	SSX2IP
NA	ST3GAL4
NA	ST3GAL5
NA	ST6GAL1
NA	ST6GALNAC1
NA	ST8SIA1
NA	ST8SIA2
NA	ST8SIA6
NA	STAC2
NA	STAC3
NA	STAM
NA	STAP2
NA	STAR
NA	STARD10
NA	STARD3NL
NA	STARD6
NA	STARD7
NA	STAT2
NA	STATH
NA	STEAP1B
NA	STEAP2
NA	STH
NA	STIM1
NA	STIM2
NA	STIP1
NA	STK10
NA	STK16
NA	STK17A
NA	STK17B
NA	STK19
NA	STK3
NA	STK35
NA	STK39
NA	STK4
NA	STMN1
NA	STRADA
NA	STT3A
NA	STX10
NA	STX12
NA	STX16
NA	STX19
NA	STX1A
NA	STX2
NA	STX4
NA	STX6
NA	STXBP2
NA	STXBP3
NA	STXBP6
NA	SUB1
NA	SUCLA2
NA	SUCLG2
NA	SUCNR1
NA	SULT1A2
NA	SULT1B1
NA	SULT1C4
NA	SULT6B1
NA	SUMF1
NA	SUMF2
NA	SUMO1
NA	SUMO3
NA	SUMO4
NA	SUN3
NA	SUOX
NA	SUPT4H1
NA	SUPT7L
NA	SURF2
NA	SURF6
NA	SUSD5
NA	SUV39H1
NA	SUV39H2
NA	SWAP70
NA	SWSAP1
NA	SYCE2
NA	SYCN
NA	SYDE1
NA	SYF2
NA	SYN3
NA	SYNGR4
NA	SYP
NA	SYPL1
NA	SYPL2
NA	SYS1
NA	SYT14
NA	SYT2
NA	SYT6
NA	TAC1
NA	TADA1
NA	TAF13
NA	TAF15
NA	TAF1B
NA	TAF4
NA	TAF9
NA	TAGLN2
NA	TALDO1
NA	TAOK3
NA	TAP1
NA	TAPBP
NA	TAPT1
NA	TARBP2
NA	TARDBP
NA	TAS1R3
NA	TAS2R13
NA	TAS2R14
NA	TAS2R19
NA	TAS2R20
NA	TAS2R3
NA	TAS2R30
NA	TAS2R31
NA	TAS2R39
NA	TAS2R4
NA	TAS2R42
NA	TAS2R46
NA	TAS2R50
NA	TASP1
NA	TATDN1
NA	TAX1BP1
NA	TBC1D10B
NA	TBC1D12
NA	TBC1D14
NA	TBC1D20
NA	TBC1D21
NA	TBC1D23
NA	TBC1D28
NA	TBC1D3B
NA	TBC1D7
NA	TBCA
NA	TBCB
NA	TBKBP1
NA	TBL1XR1
NA	TBL2
NA	TBP
NA	TBPL1
NA	TBR1
NA	TBRG1
NA	TBX3
NA	TBX6
NA	TCEA1
NA	TCEAL1
NA	TCEAL3
NA	TCEAL4
NA	TCEAL7
NA	TCEAL8
NA	TCEANC2
NA	TCF15
NA	TCF3
NA	TCF7
NA	TCF7L1
NA	TCF7L2
NA	TCFL5
NA	TCHP
NA	TCL1A
NA	TCN1
NA	TCN2
NA	TCP1
NA	TCP10
NA	TCTA
NA	TCTN1
NA	TCTN3
NA	TDG
NA	TDGF1
NA	TEAD2
NA	TEAD4
NA	TEDDM1
NA	TEKT4
NA	TERF1
NA	TERF2
NA	TERF2IP
NA	TES
NA	TESK1
NA	TEX101
NA	TEX26
NA	TEX261
NA	TEX9
NA	TFAP2C
NA	TFAP2E
NA	TFB1M
NA	TFB2M
NA	TFCP2
NA	TFCP2L1
NA	TFDP2
NA	TFF1
NA	TFG
NA	TFPI
NA	TFPI2
NA	TFPT
NA	TGFB1I1
NA	TGFB2
NA	TGFB3
NA	TGFBR2
NA	TGIF2
NA	TGOLN2
NA	TGS1
NA	TH
NA	THADA
NA	THAP1
NA	THAP10
NA	THAP11
NA	THAP3
NA	THAP4
NA	THAP5
NA	THAP6
NA	THAP8
NA	THBD
NA	THBS3
NA	THG1L
NA	THNSL1
NA	THOC3
NA	THOC6
NA	THOC7
NA	THPO
NA	THRSP
NA	THUMPD2
NA	TIA1
NA	TIAL1
NA	TIGD2
NA	TIGD7
NA	TIMELESS
NA	TIMM21
NA	TIMM44
NA	TIMM9
NA	TIMMDC1
NA	TIMP2
NA	TIMP4
NA	TIPIN
NA	TIPRL
NA	TJAP1
NA	TJP2
NA	TK2
NA	TLCD1
NA	TLL2
NA	TLR1
NA	TLR9
NA	TLX1
NA	TM2D1
NA	TM2D2
NA	TM4SF1
NA	TM4SF20
NA	TM4SF5
NA	TM6SF2
NA	TM9SF3
NA	TM9SF4
NA	TMC4
NA	TMC6
NA	TMCC1
NA	TMCC2
NA	TMCO1
NA	TMCO2
NA	TMCO3
NA	TMED1
NA	TMED2
NA	TMED3
NA	TMED4
NA	TMED5
NA	TMED6
NA	TMED7-TICAM2
NA	TMED9
NA	TMEM100
NA	TMEM101
NA	TMEM102
NA	TMEM106B
NA	TMEM106C
NA	TMEM107
NA	TMEM11
NA	TMEM115
NA	TMEM116
NA	TMEM121
NA	TMEM127
NA	TMEM128
NA	TMEM133
NA	TMEM134
NA	TMEM135
NA	TMEM139
NA	TMEM144
NA	TMEM147
NA	TMEM14A
NA	TMEM150A
NA	TMEM154
NA	TMEM155
NA	TMEM159
NA	TMEM160
NA	TMEM161A
NA	TMEM163
NA	TMEM165
NA	TMEM167B
NA	TMEM169
NA	TMEM17
NA	TMEM170A
NA	TMEM170B
NA	TMEM171
NA	TMEM177
NA	TMEM179
NA	TMEM184C
NA	TMEM186
NA	TMEM189-UBE2V1
NA	TMEM19
NA	TMEM190
NA	TMEM196
NA	TMEM198
NA	TMEM200B
NA	TMEM200C
NA	TMEM203
NA	TMEM204
NA	TMEM205
NA	TMEM206
NA	TMEM208
NA	TMEM209
NA	TMEM211
NA	TMEM213
NA	TMEM217
NA	TMEM219
NA	TMEM223
NA	TMEM231
NA	TMEM234
NA	TMEM236
NA	TMEM237
NA	TMEM241
NA	TMEM242
NA	TMEM245
NA	TMEM33
NA	TMEM37
NA	TMEM39B
NA	TMEM40
NA	TMEM41A
NA	TMEM42
NA	TMEM44
NA	TMEM47
NA	TMEM51
NA	TMEM53
NA	TMEM54
NA	TMEM56
NA	TMEM59
NA	TMEM62
NA	TMEM63A
NA	TMEM65
NA	TMEM68
NA	TMEM69
NA	TMEM71
NA	TMEM79
NA	TMEM80
NA	TMEM86A
NA	TMEM87A
NA	TMEM87B
NA	TMEM89
NA	TMEM8A
NA	TMEM92
NA	TMEM97
NA	TMEM99
NA	TMEM9B
NA	TMF1
NA	TMIE
NA	TMIGD1
NA	TMLHE
NA	TMOD2
NA	TMPO
NA	TMPRSS4
NA	TMPRSS5
NA	TMSB15B
NA	TMTC1
NA	TMX1
NA	TMX2
NA	TMX4
NA	TNF
NA	TNFAIP3
NA	TNFAIP6
NA	TNFAIP8
NA	TNFAIP8L1
NA	TNFRSF10B
NA	TNFRSF10C
NA	TNFRSF11A
NA	TNFRSF17
NA	TNFRSF19
NA	TNFRSF9
NA	TNFSF10
NA	TNFSF13B
NA	TNFSF4
NA	TNIP1
NA	TNKS2
NA	TNNC1
NA	TNNC2
NA	TNNI1
NA	TNNI2
NA	TNNI3
NA	TNNT1
NA	TNP1
NA	TNP2
NA	TNPO1
NA	TNPO3
NA	TOLLIP
NA	TOM1L1
NA	TOMM22
NA	TOMM34
NA	TOMM40
NA	TOMM40L
NA	TOP1MT
NA	TOP3B
NA	TOR1A
NA	TP53I11
NA	TP53I3
NA	TP53INP1
NA	TPCN2
NA	TPD52
NA	TPGS2
NA	TPH2
NA	TPM1
NA	TPM4
NA	TPP1
NA	TPP2
NA	TPPP2
NA	TPPP3
NA	TPRA1
NA	TPRG1
NA	TPRKB
NA	TPRN
NA	TPRX1
NA	TPSAB1
NA	TPSB2
NA	TPST2
NA	TPT1
NA	TPTE
NA	TPX2
NA	TRA2B
NA	TRABD
NA	TRAF3IP1
NA	TRAF4
NA	TRAF5
NA	TRAFD1
NA	TRAM1
NA	TRAM1L1
NA	TRAM2
NA	TRAP1
NA	TRAPPC1
NA	TRAPPC10
NA	TRAPPC3
NA	TRAPPC6B
NA	TRAPPC8
NA	TRDMT1
NA	TREML1
NA	TREML4
NA	TREX1
NA	TREX2
NA	TRH
NA	TRIB3
NA	TRIM13
NA	TRIM16L
NA	TRIM17
NA	TRIM2
NA	TRIM22
NA	TRIM25
NA	TRIM26
NA	TRIM4
NA	TRIM40
NA	TRIM41
NA	TRIM44
NA	TRIM5
NA	TRIM59
NA	TRIM63
NA	TRIM69
NA	TRIM7
NA	TRIM72
NA	TRIM73
NA	TRMT1
NA	TRMT11
NA	TRMT112
NA	TRMT12
NA	TRMT1L
NA	TRMT2A
NA	TRMT5
NA	TRMU
NA	TRNAU1AP
NA	TRNT1
NA	TROVE2
NA	TRPC4AP
NA	TRPM1
NA	TRPV2
NA	TSC22D1
NA	TSC22D3
NA	TSEN15
NA	TSEN2
NA	TSEN34
NA	TSEN54
NA	TSFM
NA	TSGA10
NA	TSLP
NA	TSN
NA	TSNARE1
NA	TSNAX
NA	TSPAN11
NA	TSPAN15
NA	TSPAN18
NA	TSPAN3
NA	TSPAN33
NA	TSPAN5
NA	TSPEAR
NA	TSPY8
NA	TSPYL1
NA	TSPYL4
NA	TSPYL5
NA	TSPYL6
NA	TSR1
NA	TSSK2
NA	TSSK3
NA	TSSK4
NA	TSSK6
NA	TST
NA	TSTA3
NA	TTBK2
NA	TTC1
NA	TTC17
NA	TTC21B
NA	TTC23
NA	TTC23L
NA	TTC27
NA	TTC29
NA	TTC30A
NA	TTC30B
NA	TTC33
NA	TTC36
NA	TTC38
NA	TTK
NA	TTL
NA	TTLL3
NA	TTPA
NA	TUBA3E
NA	TUBA8
NA	TUBAL3
NA	TUBB
NA	TUBB2A
NA	TUBB3
NA	TUBB4A
NA	TUBD1
NA	TUBGCP4
NA	TUFM
NA	TUFT1
NA	TULP1
NA	TULP2
NA	TUSC2
NA	TWF1
NA	TWIST2
NA	TWISTNB
NA	TWSG1
NA	TXLNG
NA	TXNDC11
NA	TXNDC12
NA	TXNDC15
NA	TXNDC16
NA	TXNDC5
NA	TXNDC9
NA	TXNIP
NA	TXNL1
NA	TXNL4A
NA	TXNL4B
NA	TXNRD2
NA	TXNRD3NB
NA	TYRO3
NA	TYW3
NA	TYW5
NA	U2AF2
NA	UACA
NA	UAP1L1
NA	UBA2
NA	UBA3
NA	UBA5
NA	UBA52
NA	UBA6
NA	UBAP2
NA	UBB
NA	UBD
NA	UBE2A
NA	UBE2C
NA	UBE2D4
NA	UBE2E1
NA	UBE2G1
NA	UBE2G2
NA	UBE2I
NA	UBE2K
NA	UBE2L3
NA	UBE2L6
NA	UBE2M
NA	UBE2N
NA	UBE2Q1
NA	UBE2U
NA	UBE2V2
NA	UBE2W
NA	UBE2Z
NA	UBE4B
NA	UBL4B
NA	UBLCP1
NA	UBQLN4
NA	UBR3
NA	UBR7
NA	UBTD2
NA	UBTF
NA	UBXN1
NA	UBXN2B
NA	UBXN6
NA	UBXN7
NA	UCHL1
NA	UCHL5
NA	UCK1
NA	UCP1
NA	UCP2
NA	UCP3
NA	UFC1
NA	UFL1
NA	UFSP2
NA	UGP2
NA	UHRF2
NA	UMPS
NA	UNC93B1
NA	UNCX
NA	UPB1
NA	UPK1B
NA	UPK2
NA	UPP1
NA	UPP2
NA	UQCR10
NA	UQCRC1
NA	UQCRC2
NA	UQCRFS1
NA	UQCRH
NA	UROS
NA	USF1
NA	USF2
NA	USO1
NA	USP12
NA	USP15
NA	USP16
NA	USP18
NA	USP25
NA	USP3
NA	USP30
NA	USP31
NA	USP4
NA	USP42
NA	USP46
NA	USP5
NA	USP51
NA	USP54
NA	USP7
NA	USPL1
NA	UST
NA	UTP14C
NA	UTP15
NA	UTP3
NA	UTP6
NA	UXS1
NA	VAC14
NA	VAMP3
NA	VAMP4
NA	VAMP7
NA	VAMP8
NA	VAPA
NA	VAPB
NA	VASH2
NA	VASP
NA	VAV1
NA	VAV2
NA	VAX1
NA	VAX2
NA	VBP1
NA	VCX3A
NA	VCX3B
NA	VDAC1
NA	VDAC2
NA	VDAC3
NA	VEGFB
NA	VEZF1
NA	VGF
NA	VGLL2
NA	VGLL4
NA	VHL
NA	VHLL
NA	VIM
NA	VIPR2
NA	VKORC1L1
NA	VMAC
NA	VMO1
NA	VMP1
NA	VN1R1
NA	VPREB3
NA	VPS16
NA	VPS25
NA	VPS26A
NA	VPS26B
NA	VPS29
NA	VPS33B
NA	VPS35
NA	VPS36
NA	VPS37A
NA	VPS39
NA	VPS41
NA	VPS45
NA	VPS4A
NA	VPS52
NA	VPS72
NA	VRK1
NA	VRK2
NA	VSNL1
NA	VSTM1
NA	VSTM2L
NA	VTA1
NA	VTCN1
NA	VTI1B
NA	VWC2
NA	WARS
NA	WASF2
NA	WASL
NA	WBP1
NA	WBP4
NA	WDFY1
NA	WDHD1
NA	WDPCP
NA	WDR12
NA	WDR18
NA	WDR19
NA	WDR25
NA	WDR27
NA	WDR31
NA	WDR37
NA	WDR38
NA	WDR43
NA	WDR47
NA	WDR5
NA	WDR55
NA	WDR5B
NA	WDR61
NA	WDR63
NA	WDR73
NA	WDR75
NA	WDR76
NA	WDR82
NA	WDR88
NA	WDR89
NA	WDR91
NA	WDR92
NA	WDTC1
NA	WDYHV1
NA	WFDC1
NA	WFDC10A
NA	WFDC3
NA	WFDC5
NA	WFDC9
NA	WHAMM
NA	WIPF1
NA	WIPI1
NA	WNT11
NA	WNT16
NA	WNT4
NA	WNT5B
NA	WNT6
NA	WNT8A
NA	WRAP73
NA	WRB
NA	WSB1
NA	WSB2
NA	WT1
NA	WWOX
NA	WWP1
NA	XAF1
NA	XCL2
NA	XCR1
NA	XPO7
NA	XRCC1
NA	XRCC2
NA	XRCC3
NA	XRCC4
NA	XRCC5
NA	XRCC6
NA	XRN2
NA	XYLB
NA	XYLT2
NA	YARS2
NA	YBEY
NA	YDJC
NA	YEATS4
NA	YES1
NA	YIF1A
NA	YIF1B
NA	YIPF2
NA	YIPF3
NA	YIPF4
NA	YIPF5
NA	YKT6
NA	YME1L1
NA	YOD1
NA	YPEL1
NA	YPEL4
NA	YTHDF3
NA	YWHAB
NA	YWHAE
NA	YWHAH
NA	YWHAQ
NA	ZBED2
NA	ZBTB1
NA	ZBTB10
NA	ZBTB11
NA	ZBTB12
NA	ZBTB17
NA	ZBTB24
NA	ZBTB25
NA	ZBTB3
NA	ZBTB32
NA	ZBTB37
NA	ZBTB39
NA	ZBTB44
NA	ZBTB45
NA	ZBTB47
NA	ZBTB48
NA	ZBTB49
NA	ZBTB6
NA	ZC2HC1C
NA	ZC3H10
NA	ZC3H15
NA	ZC3H6
NA	ZC3H7A
NA	ZC3H8
NA	ZC3HAV1L
NA	ZCCHC10
NA	ZCCHC17
NA	ZCCHC24
NA	ZCCHC4
NA	ZCCHC9
NA	ZCRB1
NA	ZCWPW1
NA	ZCWPW2
NA	ZDHHC1
NA	ZDHHC11
NA	ZDHHC13
NA	ZDHHC14
NA	ZDHHC16
NA	ZDHHC21
NA	ZDHHC4
NA	ZDHHC5
NA	ZFAND1
NA	ZFAND2B
NA	ZFAND3
NA	ZFAND4
NA	ZFAND5
NA	ZFAND6
NA	ZFP14
NA	ZFP36
NA	ZFP62
NA	ZFP82
NA	ZFP91
NA	ZFR
NA	ZFR2
NA	ZFYVE19
NA	ZFYVE21
NA	ZFYVE27
NA	ZHX1
NA	ZHX3
NA	ZIC5
NA	ZKSCAN1
NA	ZKSCAN3
NA	ZKSCAN4
NA	ZKSCAN5
NA	ZMPSTE24
NA	ZMYM2
NA	ZMYND10
NA	ZMYND11
NA	ZMYND12
NA	ZMYND19
NA	ZMYND8
NA	ZNF10
NA	ZNF100
NA	ZNF114
NA	ZNF117
NA	ZNF121
NA	ZNF124
NA	ZNF131
NA	ZNF133
NA	ZNF134
NA	ZNF140
NA	ZNF141
NA	ZNF142
NA	ZNF146
NA	ZNF154
NA	ZNF155
NA	ZNF16
NA	ZNF165
NA	ZNF174
NA	ZNF175
NA	ZNF180
NA	ZNF184
NA	ZNF2
NA	ZNF20
NA	ZNF207
NA	ZNF219
NA	ZNF22
NA	ZNF224
NA	ZNF225
NA	ZNF23
NA	ZNF232
NA	ZNF234
NA	ZNF250
NA	ZNF256
NA	ZNF263
NA	ZNF264
NA	ZNF266
NA	ZNF273
NA	ZNF280A
NA	ZNF280B
NA	ZNF280C
NA	ZNF286A
NA	ZNF286B
NA	ZNF302
NA	ZNF317
NA	ZNF322
NA	ZNF324
NA	ZNF326
NA	ZNF330
NA	ZNF333
NA	ZNF337
NA	ZNF345
NA	ZNF346
NA	ZNF347
NA	ZNF358
NA	ZNF362
NA	ZNF367
NA	ZNF37A
NA	ZNF383
NA	ZNF384
NA	ZNF385A
NA	ZNF394
NA	ZNF404
NA	ZNF410
NA	ZNF417
NA	ZNF419
NA	ZNF425
NA	ZNF428
NA	ZNF430
NA	ZNF433
NA	ZNF443
NA	ZNF45
NA	ZNF461
NA	ZNF471
NA	ZNF473
NA	ZNF497
NA	ZNF500
NA	ZNF502
NA	ZNF506
NA	ZNF507
NA	ZNF513
NA	ZNF519
NA	ZNF529
NA	ZNF530
NA	ZNF543
NA	ZNF544
NA	ZNF548
NA	ZNF550
NA	ZNF551
NA	ZNF554
NA	ZNF557
NA	ZNF562
NA	ZNF563
NA	ZNF565
NA	ZNF566
NA	ZNF569
NA	ZNF57
NA	ZNF570
NA	ZNF575
NA	ZNF576
NA	ZNF578
NA	ZNF579
NA	ZNF580
NA	ZNF581
NA	ZNF583
NA	ZNF586
NA	ZNF589
NA	ZNF596
NA	ZNF605
NA	ZNF610
NA	ZNF611
NA	ZNF613
NA	ZNF614
NA	ZNF621
NA	ZNF625
NA	ZNF627
NA	ZNF638
NA	ZNF639
NA	ZNF644
NA	ZNF649
NA	ZNF654
NA	ZNF655
NA	ZNF660
NA	ZNF662
NA	ZNF664
NA	ZNF667
NA	ZNF671
NA	ZNF684
NA	ZNF688
NA	ZNF689
NA	ZNF69
NA	ZNF691
NA	ZNF699
NA	ZNF7
NA	ZNF701
NA	ZNF705A
NA	ZNF705D
NA	ZNF706
NA	ZNF707
NA	ZNF708
NA	ZNF736
NA	ZNF749
NA	ZNF75A
NA	ZNF76
NA	ZNF77
NA	ZNF770
NA	ZNF772
NA	ZNF773
NA	ZNF774
NA	ZNF781
NA	ZNF784
NA	ZNF785
NA	ZNF787
NA	ZNF788
NA	ZNF8
NA	ZNF80
NA	ZNF800
NA	ZNF805
NA	ZNF813
NA	ZNF821
NA	ZNF83
NA	ZNF830
NA	ZNF837
NA	ZNF844
NA	ZNF846
NA	ZNF85
NA	ZNF852
NA	ZNF860
NA	ZNF92
NA	ZNHIT6
NA	ZNRD1
NA	ZNRF1
NA	ZPBP
NA	ZSCAN12
NA	ZSCAN18
NA	ZSCAN22
NA	ZSCAN23
NA	ZSCAN29
NA	ZSWIM7
NA	ZWINT
NA	ZXDA
NA	ZZZ3
